Timestamp,Title,Location,Remote?,Org Size,Salary,Years of experience,Industry,Additional comments,Additional perks?
9/23/2020 20:14:31,Technical support specialist,"Burlington, VT",Yes,> 5000,110000,20,Tech,,No
9/20/2020 22:34:13,Customer Success Engineer,"Atlanta, GA",Yes,51 - 500,105000,4,Information Technology,,"$10,000"
9/21/2020 11:43:00,Senior Software Engineer,"Vancouver, BC",No,> 5000,"102,930",12,Video Games,,Both
9/22/2020 14:53:47,Senior Software Engineer,"Louisville, KY",No,> 5000,101520,6,Insurance,,Yes 
9/21/2020 18:09:28,software engineer,"philadelphia, pa",Yes,51 - 500,"100,800",5,civic tech,,no
9/20/2020 20:50:20,Software engineer,"Austin, texas",No,> 5000,"100,000",1,Fitness ,,12%
9/21/2020 16:07:51,Technical specialist,"Boulder, Colorado",No,501 - 1000,"100,000",3,Patent Law,,none yet 
9/22/2020 12:01:46,CTO,"Fort Lauderdale, FL ",Yes,0 - 10,100000,6,Software Solutions,,
9/22/2020 23:44:09,Software Engineer,"Nashville, TN",Yes,51 - 500,100000,7,SaaS,"Not sure if this matters, but it is an important distinction for me because I strongly believe my career trajectory would have been different without this. I'm a 30 year old white woman with a disability. Only have been at 2 jobs in my life. It has been hard finding a job with this disability because not every employer can reasonably accommodate it. Also hard to move up in jobs because I'm not given the same opportunities as my colleagues due to this disability. Anyways, still grateful to have a job in the first place, but there are larger obstacles outside of technical ones when you are disabled.",No
9/23/2020 21:02:39,Software Developer,Victoria BC Canada,No,501 - 1000,"$98,000",3,Workplace Giving,,"$12,000"
9/22/2020 10:31:14,Software Engineer,"San Francisco, CA",No,11- 50,95000,1,Fintech,,Stocks/options
9/23/2020 14:58:56,Senior Client Success Manager,"Washington, DC",No,11- 50,95000,3,Political tech,,Yes
9/23/2020 17:04:17,Software engineer,"Seattle, WA",No,11- 50,95000,1,SaaS,"This was from my first full time role in tech, which I had for about a year before getting laid off March 2020. It was mostly front end web development.","Had options, did not buy them"
9/21/2020 14:09:35,Developer/analysts 1,Grand Rapids mi,No,> 5000,90000,2,Grocery ,,No
9/22/2020 7:41:53,Software Engineer,"Atlanta, GA",No,0 - 10,87600,0,Marketing,,
9/22/2020 16:50:14,Software Engineer,"Dallas, TX",No,> 5000,"84,000",2,Semiconductors,1k per year towards health expenses ,"Stock Purchase Plan, 10 - 20% annual bonus, 0 - 5k merit bonus"
9/24/2020 0:28:54,Customer Support Manger ,"Portland, OR",Yes,51 - 500,"84,000",12,Automation,,Bonuses based on salary <10k per year
9/20/2020 22:37:38,Senior Interaction Designer,"Toronto, Canada",No,51 - 500,"82,368",10,Telecommunications,Contractor,No
9/20/2020 22:01:31,UI Engineer ,"Atlanta, GA ",No,> 5000,80000,3,Automotive,,
9/20/2020 22:26:28,Full Stack Web Developer,"Denver, CO",No,> 5000,78795,3,Space,"Education stipends ($1000/year to pay off existing loans, $7500/year to pay for new degree pursuits)",No
9/21/2020 14:36:21,R&D technologist,Silicon valley,No,51 - 500,78000,6,Medical devices ,,3000
9/20/2020 22:22:51,Senior Business Analyst ,Toronto,No,> 5000,76000,4,Retail,,Both
9/21/2020 11:34:34,Associate Software Engineer,"New York, NY",No,> 5000,"75,000",1,Health Tech,Started as an intern making ~$25/hr & no benefits for 6months before receiving full time offer. ,Annual stock grant (~30k) and bonus(~4K)
9/23/2020 23:04:40,Software Engineer,Charlottesville VA,No,11- 50,"75,000",1,Medical,,No
9/22/2020 3:43:08,Red Team Lead,"Utica, NY",Yes,11- 50,70000,3,Cybersecurity,,Yes
9/23/2020 16:25:30,Associate Software Engineer,"Kansas City, MO",No,51 - 500,"70,000",1,Finance,,No
9/23/2020 19:51:38,Software Engineer,"Durham, NC",No,> 5000,67500,2.5,IT,,3500
9/21/2020 6:57:32,Staff Software Engineer,Madrid,Yes,51 - 500,65000,6,DevOps,,10000
9/23/2020 16:26:05,Security Engineer 2,"Atlanta, GA",Yes,> 5000,"65,000",1,Cybersecurity,first full time job,bonuses 
9/23/2020 19:38:29,Junior Application Developer,Los Angeles,No,11- 50,"65,000",1,Cybersecurity ,I started working during the pandemic so I can't fully speak to working at my company during normal times. It seems like I would most likely have to work in office some of time in normal circumstances.,N/A
9/22/2020 9:57:58,Software Engineer,"Coeur d'Alene, ID",No,51 - 500,63000,2,Home Design Software,,"~$3000, annual"
9/21/2020 11:10:02,Software Developer,"Fort Wayne, IN",No,51 - 500,62500,3,Consulting,Expecting a raise soon,No
9/23/2020 20:32:31,Technical lead,Sacramento california,No,51 - 500,55000,6,Government services,,Yes
9/24/2020 12:15:40,Marketing Coordinator,"San Francisco, CA",No,11- 50,"50,000",0,SaaS - retail + logistics,,0
9/21/2020 12:05:03,iOS developer ,"Boise, ID",Yes,0 - 10,"40,000",3,IT,,None 
9/23/2020 16:26:02,Software Engineer,Washington DC,No,51 - 500,10000,5,Media,,No
9/21/2020 15:15:21,Lead Developer,North Carolina,Yes,11- 50,$160,8,Logistics ,,
9/28/2020 12:20:27,Junior Developer,"Nashville, TN",No,51 - 500,"65,000",0.5,Healthcare,Company paid $5k towards my coding bootcamp debt,No
9/28/2020 14:27:08,Junior Software Engineer,Washington DC,No,501 - 1000,"82,000",2,Public Media,,None
9/28/2020 14:59:05,Senior Software Engineer,"Durham, NC",Yes,> 5000,170000,12,"B2B, Cloud, VM","Total take home compensation in year one - $305,710.32","Annual bonus - 12.5%, RSU at hire 300k (1/3), additional RSU at 1 year 65k (1/3)."
9/28/2020 15:33:45,Senior Software Developer,"Minden, Nebraska",Yes,51 - 500,89000,20,Manufacturinv,I only put in 40 hours a week. My boss doesn't micromanage me. And if I want to work 4am - 12 noon its fine.,No
9/28/2020 16:31:31,Senior Java Developer ,Belgium,No,1001 - 5000,770 EUR per day,10,Telecom,Independent consultant/Freelance,No
9/28/2020 21:32:51,Senior software engineer ,NYC ,No,1001 - 5000,137000,4,Education publication ,Least paid Senior SWE,0
9/29/2020 1:28:05,Software engineer ,Florida,No,501 - 1000,70000,3,Tech,,
9/29/2020 15:26:09,Staff Software Engineer,"London, UK",Yes,51 - 500,"£117,000",20,commercial/service provider,,Yes
9/29/2020 23:53:58,Associate ,Arlington,Yes,51 - 500,"125,000",3,Federal ,Partially remote in normal times. Option to work in office a few days a week. ,None 
9/30/2020 6:44:12,Project Engineer II,"Indianapolis, IN",No,51 - 500,"$81,000",2,Material handling,,3% incentives
10/7/2020 18:21:37,Senior Software Engineer,"New York, NY",No,> 5000,150000,4,Finance,,12000
10/8/2020 16:51:51,Software Developer,Toronto,No,> 5000,"100,000",4,ecommerce,,"100,000"
10/8/2020 23:11:53,Systems Application Analyst,"Newport News, VA",No,> 5000,"$73,294",5,Defense,,
10/14/2020 6:11:13,Machine Learning Engineer,New York City,No,0 - 10,140000,5,Search,,0
10/14/2020 12:28:43,Associate Technical Account Manager ,"Atlanta, GA",Yes,51 - 500,"100,000",1,Information Technology,,10% yearly bonus
10/21/2020 23:39:27,Software Developer II,Columbus Ohio,Yes,11- 50,"100,000",1,Financial Tech - Insurance,,"yes 5k bonus first year, and stock options"
10/22/2020 10:56:18,cloud trainee,toronto,No,> 5000,none,0.5,none,,none
10/25/2020 0:01:07,Data Analyst,"Detroit, MI",Yes,51 - 500,125000,5,Fintech,,Stock options
10/25/2020 3:34:11,Software architect analyst,Atlanta ,No,> 5000,"$77,000",0,Professional Services,One internship experience,Both
10/30/2020 22:37:56,DevOps,Atlanta ,No,51 - 500,80K,10,Sporting ,,Both
11/5/2020 4:59:47,Director of Operations,San Diego,Yes,11- 50,"95,000",10,Marketing,,
11/10/2020 14:35:15,Lead Software Engineer,Minneapolis,No,> 5000,165k,8,Retail,,~10%
11/11/2020 11:26:12,Senior Software Engineer ,"Dallas, TX",Yes,1001 - 5000,80000,10,Manufacturing ,,
11/16/2020 17:37:40,Senior Software Engineer,Boston/Remote,Yes,501 - 1000,150000,5,Saas,,"Some limited RSUs, no bonuses"
11/22/2020 16:31:28,iOS Engineer,"Greenville, SC",Yes,11- 50,"85,000",1,Technology,,Stocks 
11/24/2020 16:10:38,VP Marketing ,Ca,Yes,51 - 500,$270k,12,SAAS,,Variable comp + equity 
11/26/2020 21:35:46,Senior Software Engineer ,New York City ,No,1001 - 5000,"165,000 base ",4,Marketing ,,Bonuses 
11/27/2020 9:52:45,Master software engineer,"McLean, VA",Yes,> 5000,160000,8,Finance,Capital one is the ne of the company and they also have a very strong presence of African American engineers, bonus 13400 min 26800 max
11/28/2020 10:50:53,Senior Data Engineer,"Queens, New York",No,1001 - 5000,"199,000",11,IT,Let the record show that there are people at my company making half as much as me because I live in NYC and they live in Canada. Capitalism is broken.,Both
11/30/2020 20:21:48,DevOps,"Herndon, VA",Yes,51 - 500,70000,1,Information Technology ,,
12/1/2020 8:45:18,iOS Software Engineer,CA,Yes,> 5000,125000,7,Music,,
12/6/2020 11:16:25,Software Engineer (Android),"Wilmington, DE",No,> 5000,112000,4,Banking,,Annual performance-based bonus 
12/6/2020 11:58:27,Senior Cloud Engineer ,"Minneapolis, Minnesota",No,> 5000,"$125,000",8,Transportation ,,
12/6/2020 14:42:20,Associate software engineer,"Irvine, CA",No,0 - 10,"80,000",2,Agency,,1000
12/6/2020 15:21:15,Sr Software Engineer,"Santa Clara, CA",No,1001 - 5000,155000,3,Financial services ,,Both
12/6/2020 18:03:29,Staff Data Scientist,"Mobile, Alabama",Yes,51 - 500,180000,8,Technology,,1000000
12/6/2020 18:33:58,Senior Software Engineer I,"Washington, DC",No,51 - 500,"160,000",6,Real Estate,,yes
12/6/2020 19:01:39,Marketing systems analyst ,MA,No,1001 - 5000,77000,4,Software,,No
12/6/2020 19:05:31,Senior Engineer,"Denver, CO",No,51 - 500,"$117,700",9,Consumer Tech / Marketing / ECommerce,,"Stock options (private company so value unclear), non-guaranteed bonus"
12/6/2020 19:05:44,Full Stack Developer,Guatemala ,No,1001 - 5000,"27,000 year",5,Telecommunications ,,
12/6/2020 19:06:50,Software Engineer II,"Philadelphia, PA",No,51 - 500,"98,500",8,Marketing ,No,No
12/6/2020 19:20:31,Senior product manager,"Sunnyvale, California",No,> 5000,"$180,000",15,Domains,,"$45,000"
12/6/2020 19:22:27,Consultant (software),"Dallas, TX",No,1001 - 5000,130000,10,Consulting,,Approximately 5% bonus
12/6/2020 19:23:58,Design Manager,Washington DC,No,51 - 500,135000,6,Civic Tech / Government Contractor,,No
12/6/2020 19:24:34,Software Engineer,Austin TX,No,1001 - 5000,"$120,000/yr",8,real estate,,0
12/6/2020 19:25:47,Director of Product,"Indianapolis, In",No,0 - 10,111000,8,Software,Seed-stage startup ,Options
12/6/2020 19:27:12,Software Development Engineer II,"Newark, NJ",No,> 5000,154600,5,Ecommerce,,30000
12/6/2020 19:27:26,Senior Communications Manager,San Francisco ,No,501 - 1000,"$145,000",8,Fintech,,
12/6/2020 19:27:27,Senior Software Engineer,"Chicago, IL",Yes,51 - 500,"170,000",14,Government tech,,
12/6/2020 19:27:41,Application architect,Detroit Michigan,No,1001 - 5000,150000,13,Restaurant,,15000
12/6/2020 19:27:49,Software Engineering Manager,Montana,Yes,> 5000,173000,8,Retail,,50k in stock annually
12/6/2020 19:28:23,Senior Frontend Engineer,"Minneapolis, MN",Yes,51 - 500,"116,000",5,Marketing Tech,"Company based in Mountain View, CA,","yes --- I probably make about 160,000 with bonuses, and have some RSUs"
12/6/2020 19:28:53,Senior software engineer,"New York, New York",No,1001 - 5000,200000,10,Audio,,180K RSU over 4 years
12/6/2020 19:29:08,Junior Coding Instructor ,Remote fully. Company based out of Texas ,Yes,51 - 500,$20/ class,1,Ed Tech,$20 an hour/class with approx 5-10 classes per week. $100-$200 /week $400-$800 /month so < $5k-$10k /year,No
12/6/2020 19:30:48,Test Engineer,"Santa Barbara, CA",No,51 - 500,124000,1,Defense,,0
12/6/2020 19:30:53,Sr manager of cybersecurity,PA/DC,No,1001 - 5000,"167,000",15,Engineering,"This is my first position as a Sr manager.
I was mostly remote before covid. No more than 1 or 2 days a week in the office, if that. ",No
12/6/2020 19:31:04,Tech Support Analyst,"Atlanta, GA",No,501 - 1000,51000,2,Healthcare Benefits,,
12/6/2020 19:31:09,Software Engineer 1,"SF, CA",No,501 - 1000,135000,1.5,Fintech,,Stocks
12/6/2020 19:33:16,Software Engineer,"Jersey City, NJ",No,> 5000,"110,000",2,Banking/Finance,,Year end bonuses - varying amount
12/6/2020 19:36:01,Senior Data Reliability Engineer,"Columbus, Ga",Yes,51 - 500,130k,6,Telecom,CS Degree acquired alongside cs career start,barely
12/6/2020 19:36:09,Product Manager,Chicago ,No,11- 50,"105,000",8,Fintech,,No
12/6/2020 19:36:11,Vice President of engineering ,New York New York ,No,> 5000,"260,000",10,Financial services,Goldman ,"350,000"
12/6/2020 19:36:27,React / Node developer,Baltimore,Yes,> 5000,118000,3,Health,100% 401k match up to 6% of base salary,0
12/6/2020 19:37:44,Senior SDM,Seattle WA,No,> 5000,160000,20,Tech,,600000
12/6/2020 19:39:12,Web Application developer ,Toronto ON Canada ,No,51 - 500,80000CAD,2,tech Agency,,Small Performance Bonus 
12/6/2020 19:40:17,Software Engineer III,"Denver, CO",Yes,51 - 500,85000,5,Healthcare ,Never answer a specific number for what you think your salary should be.,Shares in the company that begin vesting after one year
12/6/2020 19:41:51,Senior Sdet,Denver,No,501 - 1000,100000,3,Adtech,,8000
12/6/2020 19:44:05,Frontend developer ,"Milan, Italy",Yes,51 - 500,44000,6,Sass ,,
12/6/2020 19:47:04,Senior Software Engineer,"Beverly, MA",Yes,11- 50,142000,5,Insurance,,7%
12/6/2020 19:47:56,Senior Software Engineer,"Dexter, MI",No,1001 - 5000,100300,18,Medical Education,"Company is huge, my unit is small.  Also, my salary is based on last year, when we had an office.  They've since shuttered the office.  No idea if there will be a salary change reflective of that.",No
12/6/2020 19:48:40,UX designer,"San Francisco, California",No,501 - 1000,"89,300",1,Mobile apps,Company offers a maximum bonus of 10% of our salary per year,Ability to purchase options(pre IPO)
12/6/2020 19:49:19,Product Manager,"San Francisco, CA",No,> 5000,"Around $500,000 (salary + RSUs)",20,Tech/Social Media,,"Yes, both"
12/6/2020 19:50:43,Senior Software Engineer,Toronto,No,51 - 500,160,13,Fintech,Everything is CAD,50k shares over 4 years current worth 150k)
12/6/2020 19:51:15,Director of engineering,San Francisco,No,51 - 500,330000,20,Tech,Pre ipo,1mil
12/6/2020 19:53:10,Interaction Designer,"Austin, TX",Yes,> 5000,127000,7,Advertising,,RSUs & yearly bonus
12/6/2020 19:53:12,Software engineering manager ,"Buffalo, NY",No,> 5000,88690,8,Finance ,,Depends 
12/6/2020 19:54:29,Software Architect,"San Jose, CA",No,> 5000,185k Base + 200k Stocks (Appreciation) = ~385k-400k yearly,10,Finance,,Covered above
12/6/2020 19:56:00,Senior field engineer,UK,Yes,> 5000,£93000,8,Technology,,£60000
12/6/2020 19:56:07,COO,TX,Yes,51 - 500,230000,14,Health tech ,,3.50%
12/6/2020 19:56:36,senior ux designer,"seattle, wa",Yes,11- 50,"base salary: $146,000",4,tech,,14k bonus
12/6/2020 19:58:11,Senior Software Developer,"Ann Arbor, MI",No,11- 50,"105,000",5,We’re a SaaS startup in medical research,,equity around a quarter of a percent
12/6/2020 19:59:10,Senior software engineer level 2,Portland Oregon,No,> 5000,130000,5,Apparel,,15000
12/6/2020 20:01:55,Software Engineering Manager,Michigan,Yes,51 - 500,170000,10,Ecommerce,"Stock options awarded yearly, 4 year vesting w/1 year cliff.  Bonus is based on performance and company performance. Managing a single team. ",(17 - 34k bonus) + (0.15% - 0.75% stock options) 
12/6/2020 20:02:05,Sr UX Designer,"San Francisco, California",Yes,51 - 500,"155,000",15,Health,,
12/6/2020 20:05:16,jr software engineer,"atlanta, ga",No,11- 50,80000,4,saas,,0
12/6/2020 20:05:54,software engineer,"seattle, wa",No,> 5000,155000,7,software,,90000
12/6/2020 20:05:56,Senior Software Engineering Manager,"Seattle, Wa",No,> 5000,180000,18,CRM,"Total comp for the last 4 years has been about 400k.   No CS degree.  Self taught, barely made it thru college.  Black man.",200000
12/6/2020 20:06:03,Principal security engineer,Indianapolis Indiana,Yes,501 - 1000,18500,20,Finance,,Annual bonuses 
12/6/2020 20:07:20,"Product Lead (Senior Consultant, Deloitte)","NYC, NY",No,> 5000,115000,5,All - Consulting at Deloitte ,,20000
12/6/2020 20:08:25,Senior software engineer,Seattle,No,51 - 500,180k/year,12,News media,Happy to provide mentorship to anyone. Dan@danmunro.com,0
12/6/2020 20:08:58,Technical Writer,"Watertown, MA",No,1001 - 5000,"80,000",4.5,Healthcare software,,Yes - bonuses
12/6/2020 20:09:04,Senior software engineer,"Charlottesville, VA",Yes,> 5000,122500,5,Agriculture,,
12/6/2020 20:09:24,"Software Engineer, Senior 1",Chicago,No,501 - 1000,127000,12,Fashion / Retail ,,
12/6/2020 20:09:26,Software Engineer,"Sydney, NSW, Australia",No,11- 50,117k (AUD),4,Music,,no
12/6/2020 20:10:17,Product Manager,Portland OR,Yes,11- 50,90000,7,Marketing,"Junior PM (been in tech awhile, PM role for 1 year)",Yes
12/6/2020 20:10:28,Principal software engineer,"Redmond, WA",No,> 5000,195000,19,Technology ,,100000
12/6/2020 20:10:49,Senior Software Engineer,"Los Angeles, CA",No,51 - 500,140000,2.5,E-commerce ,,Have options but not sure if they’re worth much 
12/6/2020 20:10:59,Senior Software Engineer Manager,"Redmond, WA",No,> 5000,195000,5,Software,,120000
12/6/2020 20:11:09,Senior Product Developer Javascript,"Birmingham, Alabama",Yes,51 - 500,119500,13,Internet,,No
12/6/2020 20:11:48,Software Developer 2,"Redwood shores, CA",No,> 5000,130000,1,Software Developer ,,75000
12/6/2020 20:12:11,Director,"Toronto, ON",Yes,> 5000,190000,20,Professional services,,"Yes, + 25%"
12/6/2020 20:12:34,Technology analyst,"McLean, va",No,> 5000,"86,000",3,"Mortgage, finance ",,
12/6/2020 20:12:49,Data Analyst,"Austin, TX",No,> 5000,"111,870",4,Social Media,,Base bonus is 10% of salary. Receive roughly $10k in RSUs per year (after taxes)
12/6/2020 20:12:50,Product Manager ,"Oakland, CA",No,> 5000,"137,500",4,Internet Software,,"60,000"
12/6/2020 20:15:40,Sr design manager,SF CA,No,> 5000,"210,000",12,Tech,,Yes
12/6/2020 20:15:46,Director of Experience Design,"Minneapolis, MN",No,11- 50,110000,11,Agency / Client Service,,No
12/6/2020 20:16:19,Software Engineer II,"San Francisco, CA",No,1001 - 5000,"158,000",3,Freight,,"70,000"
12/6/2020 20:16:47,Principal engineer,"San Francisco, CA",No,> 5000,780000,7,Technology,"I also have a PhD, so you could count YoE as 6 PhD + 7 industry.","Yes, value included in total above"
12/6/2020 20:16:49,Head of communications ,San Francisco ,No,11- 50,"145,000",10,Health tech ,,Equity 
12/6/2020 20:17:56,Frontend Engineer,Connecticut,Yes,1001 - 5000,84500,7,Software - DevOps,,4500 shares pre-IPO
12/6/2020 20:19:29,Software Engineer,Chicago/NYC,No,1001 - 5000,"$150,000",0,Finance,,"$100,000 signing; $50,000 annual"
12/6/2020 20:20:10,Lead User Experience Researcher,New York,Yes,> 5000,110000,6,Insurance,,No
12/6/2020 20:22:10,Audience Development Manager  ,Toronto,No,51 - 500,"50,000",3,Publication ,,None
12/6/2020 20:24:38,Senior software engineer ,"San Francisco, CA",No,51 - 500,"145,000",6,Solar,,"Stock, value unknown"
12/6/2020 20:25:18,"Senior Manager, Marketing ",New York City,No,51 - 500,"165,000",8,Market Intelligence ,,
12/6/2020 20:27:13,lead product designer,los angeles ca,No,51 - 500,195k,6,storage,,12k  rsu and 10k  at signing
12/6/2020 20:28:13,Senior software engineer,Nyc,No,501 - 1000,150000,3,Insurance,,
12/6/2020 20:28:29,Design System Lead,Philadelphia,Yes,> 5000,135000,5,Insurance,,15% annual bonus
12/6/2020 20:28:40,Senior Technology Consultant ,"Chicago, IL",No,> 5000,"100,000",3,Professional services ,,Performance based bonuses 
12/6/2020 20:28:57,Senior software engineer,"Los Angeles, CA",No,501 - 1000,157000,6,Entertainment,,Up to 10% bonus annually based on department goals
12/6/2020 20:29:20,SRE,"Boise, Idaho",Yes,> 5000,"185,000",20,Consumer Electronics,"They do eventually want me to move down to San Diego, but it wasn’t made an official condition of my employment.","118k in RSUs and 35k bonus, both hiring. Presumably more ongoing (I have only had this job for five months)"
12/6/2020 20:29:30,CTO,Montreal,Yes,11- 50,"$74,000/yr USD",10,Software Development Consulting,I'm the cofounder so we get to choose our own salary,50% of the company
12/6/2020 20:29:41,Software Engineer,"Austin, TX",No,> 5000,97000,7,Video Games,,14000
12/6/2020 20:30:38,Jr. Salesforce Administrator,"Orlsndo, Fl",Yes,1001 - 5000,60000,1,Education,,
12/6/2020 20:31:37,Data engineer,"Glasgow, Scotland ",No,> 5000,38500,2,Public sector,,"Pension, included in salary, abive"
12/6/2020 20:32:09,Product Manager,"Amsterdam, The Netherlands",No,> 5000,"82,000 Euros",13,Travel,,15% bonus + 15% RSU (annual/3 years)
12/6/2020 20:33:04,Tech lead,"Louisville, KY",Yes,51 - 500,160000,9,Saas,,No
12/6/2020 20:35:13,Senior FP&A Analyst,Denver,Yes,11- 50,"$90,000",2,Streaming,CPA,No
12/6/2020 20:35:14,Cloud Solutions Architect,"Cincinnati, OH",Yes,> 5000,155000,5,Tech,,26k/year
12/6/2020 20:35:23,Full Stack Software Engineer,"Austin, TX",No,51 - 500,"85,000",2.5,E-Learning,,Stock only
12/6/2020 20:38:06,Staff Software Engineer,"San Francisco, CA",No,501 - 1000,"230,000",8,Real Estate,,Yes
12/6/2020 20:39:02,Principal UX Designer,"Seattle, WA",No,1001 - 5000,"192,009",18,Philanthropy,"28,000 retirement grant","5,000"
12/6/2020 20:39:03,Senior software engineer,"New York, NY",No,> 5000,185000,4,Finance,,35000
12/6/2020 20:39:59,Director of Digital Strategy,"Washington, DC",No,> 5000,215000,20,Government IT Contracting,Likely to remain remote after covid,None
12/6/2020 20:40:59,Associate product manager,"Chicago, il",No,1001 - 5000,110000,2,Tech,,"30k stock, bonus up to 10%, sign on bonus was 10k"
12/6/2020 20:41:16,Software development engineer ,New York NY,No,> 5000,300000,7,Social media,That was total comp,Both 
12/6/2020 20:41:17,Director of Engineering ,"Greenville, SC",Yes,51 - 500,187000,6,Devtools,,Yes
12/6/2020 20:41:30,VP of Product,"Austin, TX",Yes,11- 50,"$245,000",8,Health Tech,,
12/6/2020 20:41:31,Engineering Manager,San Francisco,No,11- 50,200000,20,Edtech,,no
12/6/2020 20:41:57,Senior Software Engineer,"Austin, TX",Yes,> 5000,132000,8,Linux,,Quarterly 
12/6/2020 20:42:07,Lead Software Engineer,"Pittsburgh, PA",Yes,> 5000,150000,11,Technology,,Yes
12/6/2020 20:43:40,Principal Engineer ,"Nashville, TN",Yes,51 - 500,"136,000",9,Healthcare,,$15k bonus
12/6/2020 20:44:21,Sr Software Engineer,"Portland, OR",No,11- 50,155000,12,Media,My coworkers and I pushed for & got transparent salary bands by level.,"startup options (totally gambling, i value them at $0)"
12/6/2020 20:44:27,Sr. Staff Software Engineer,San Francisco,Yes,1001 - 5000,220000,21,eCommerce,white female,0
12/6/2020 20:44:32,Frontend engineer,"Raleigh, NC",No,51 - 500,99000,11,Saas,,
12/6/2020 20:45:26,Software Development Engineer I,Seattle,No,> 5000,110000,2,Cloud,,30000
12/6/2020 20:45:28,Software Engineer,"NY, NY",No,> 5000,"132,000",1,Internet,,"$26,400 bonus, $37,500 stock"
12/6/2020 20:45:43,Product Design Contractor,Connecticut,Yes,0 - 10,$100/hour,3,Software studio,,
12/6/2020 20:45:46,Software Engineer,Baltimore MD,No,51 - 500,162000,38,Government/Commercial Cybersecurity,"tech allowance, phone allowance ~1500/yr",~5750/yr bonus
12/6/2020 20:45:52,UX designer ,"Atlanta, ga ",No,11- 50,"$115,000",8,Emergency services ,,No
12/6/2020 20:46:08,Data Science Manager,"Boston, MA",No,> 5000,158000,12,Media Tech,Up for a large raise ,Stocks 
12/6/2020 20:46:36,Senior software engineer,"Baltimore,  MD",No,501 - 1000,"134,000",17,Aerospace,"Cheap .gov equivalent health insurance,  10% salary in 403b, up to another 10% matching. ",None
12/6/2020 20:46:43,senior software engineer,"porland, oregon",Yes,0 - 10,130000,25,software tooling (high performance computing),,0
12/6/2020 20:48:27,Associate software engineer,"Denver, CO",No,> 5000,85000,1,Agriculture,,
12/6/2020 20:48:31,principal architect ,"san francisco, ca",Yes,51 - 500,220000,26,cyber security ,racing against inflation and losing,bonuses
12/6/2020 20:49:02,Software engineer,"Seattle, WA",No,51 - 500,130000,5,Telecom,,10k eq
12/6/2020 20:49:41,Software Engineer,"Mountain View, CA",Yes,> 5000,"220,000",30,Search / Advertising ,Bonus/stock approximate ,"100,000"
12/6/2020 20:50:46,Staff 1,San Jose ,No,> 5000,160000,15,Finance,,30000
12/6/2020 20:51:14,Staff Software Engineer,"Chicago, IL",No,51 - 500,"150,000",17,Supply Chain Logistics,,Bonus at 15% of salary
12/6/2020 20:51:54,Full Stack Engineer,NYC,No,11- 50,"$150,000",4,Fintech,,Stock options
12/6/2020 20:52:25,Product Designer,"Menlo Park, CA",No,> 5000,"199,999",13,Social,,Both
12/6/2020 20:53:35,Software Development Manager,"Denver, CO",Yes,51 - 500,195K,10,E-commerce,3 years management experience,"Equity options, no cash bonus but generally annual pay raise"
12/6/2020 20:55:23,Security Engineer,"Chicago, IL",Yes,1001 - 5000,87000,1.5,FinTech,First job out of college,8700
12/6/2020 20:55:28,iOS Engineer,"New York, NY",No,> 5000,114000,3,Health & wellness,,Small bonus 
12/6/2020 20:55:28,Senior software engineer,"Philadelphia, PA",Yes,> 5000,230000,14,Consumer technology,,550000
12/6/2020 20:56:48,Software Engineer II,"Seattle, WA",No,> 5000,142000,4,Software,,
12/6/2020 20:56:54,Senior iOS Engineer,Denver,No,51 - 500,130000,6,Mobile Shopping,,"2000 options in hire, 2000 when promoted"
12/6/2020 20:57:44,Software Engineer,"San Francisco, CA",No,> 5000,"145,000",5,Consumer Electronics,,150000
12/6/2020 20:58:27,Front-end Web Developer,Richmond VA,No,51 - 500,"80,000",9,Public Relations & Communications,,
12/6/2020 20:58:36,Senior Software Developer,"Chicago, IL",No,51 - 500,"$137,000",25,Fintech,,"15% or so, in cash and/or equity (employee's choice)"
12/6/2020 20:59:55,Software Developer 2,San Diego,No,1001 - 5000,98000,1,SaaS,,None
12/6/2020 21:00:05,Solutions Architect,Canberra Australia,No,> 5000,220000,15,Government,Australian dollars; 60% cash/40% RSUs,Stocks
12/6/2020 21:01:35,Product Manager,"San Francisco, CA",No,> 5000,"$185,000",8,Social Media,FAANG,"15% Bonus, avg $100k in stocks yearly"
12/6/2020 21:04:11,Senior Software engineering,"San jose , CA",No,> 5000,200000,4,Fintech,,Yes
12/6/2020 21:04:27,Software Engineer I,"Oakland, CA",No,1001 - 5000,140000,2.5,Internet ,,46000
12/6/2020 21:06:12,Vulnerability Manager,"Minneapolis, Minnesota ",No,> 5000,"120,000",12,Media,,10% bonus
12/6/2020 21:08:06,Software Developer,Los Angeles CA,Yes,1001 - 5000,93000,4,Healthcare ,"Company is based in Ohio, took a pay cut from my previous California based one to be fully remote ",Annual bonus of $6kish
12/6/2020 21:08:51,UI Designer,San Francisco,No,51 - 500,"95,000",13,e-commerce,,
12/6/2020 21:09:18,Lead Data Scientist,"San Francisco, CA",No,51 - 500,205000,19,Entertainment,,Startup options of unknown eventual value
12/6/2020 21:09:53,Engineering Manager - Mobile,"Berkeley, CA",No,501 - 1000,"197,000",10,Communications,,ISO (private company so unclear valuation)
12/6/2020 21:13:07,Principal Web Developer,"Syracuse, NY",No,1001 - 5000,"83,000",20,"Higher Education, a university",,No lol
